"id","customer_id","address","province_code","province_name","ward_code","ward_name","type","status","_record_date"
ADDR_HIST_1000059,"1000059",Address 1000059,"60",Province 60,"59",Ward 59,WORK,1,2026-05-13
ADDR_HIST_100006,"100006",Address 100006,"25",Province 25,"6",Ward 6,HOME,1,2026-05-13
ADDR_HIST_1000060,"1000060",Address 1000060,"61",Province 61,"60",Ward 60,HOME,0,2026-05-13
ADDR_HIST_1000061,"1000061",Address 1000061,"62",Province 62,"61",Ward 61,WORK,1,2026-05-13
ADDR_HIST_1000062,"1000062",Address 1000062,"0",Province 0,"62",Ward 62,HOME,1,2026-05-13
ADDR_HIST_1000063,"1000063",Address 1000063,"1",Province 1,"63",Ward 63,WORK,1,2026-05-13
ADDR_HIST_1000064,"1000064",Address 1000064,"2",Province 2,"64",Ward 64,HOME,1,2026-05-13
ADDR_HIST_1000065,"1000065",Address 1000065,"3",Province 3,"65",Ward 65,WORK,0,2026-05-13
ADDR_HIST_1000066,"1000066",Address 1000066,"4",Province 4,"66",Ward 66,HOME,1,2026-05-13
ADDR_HIST_1000067,"1000067",Address 1000067,"5",Province 5,"67",Ward 67,WORK,1,2026-05-13
ADDR_HIST_1000068,"1000068",Address 1000068,"6",Province 6,"68",Ward 68,HOME,1,2026-05-13
ADDR_HIST_1000069,"1000069",Address 1000069,"7",Province 7,"69",Ward 69,WORK,1,2026-05-13
ADDR_HIST_100007,"100007",Address 100007,"26",Province 26,"7",Ward 7,WORK,1,2026-05-13
ADDR_HIST_1000070,"1000070",Address 1000070,"8",Province 8,"70",Ward 70,HOME,0,2026-05-13
ADDR_HIST_1000071,"1000071",Address 1000071,"9",Province 9,"71",Ward 71,WORK,1,2026-05-13
ADDR_HIST_1000072,"1000072",Address 1000072,"10",Province 10,"72",Ward 72,HOME,1,2026-05-13
ADDR_HIST_1000073,"1000073",Address 1000073,"11",Province 11,"73",Ward 73,WORK,1,2026-05-13
ADDR_HIST_1000074,"1000074",Address 1000074,"12",Province 12,"74",Ward 74,HOME,1,2026-05-13
ADDR_HIST_1000075,"1000075",Address 1000075,"13",Province 13,"75",Ward 75,WORK,0,2026-05-13
ADDR_HIST_1000076,"1000076",Address 1000076,"14",Province 14,"76",Ward 76,HOME,1,2026-05-13
ADDR_HIST_1000077,"1000077",Address 1000077,"15",Province 15,"77",Ward 77,WORK,1,2026-05-13
ADDR_HIST_1000078,"1000078",Address 1000078,"16",Province 16,"78",Ward 78,HOME,1,2026-05-13
ADDR_HIST_1000079,"1000079",Address 1000079,"17",Province 17,"79",Ward 79,WORK,1,2026-05-13
ADDR_HIST_100008,"100008",Address 100008,"27",Province 27,"8",Ward 8,HOME,1,2026-05-13
ADDR_HIST_1000080,"1000080",Address 1000080,"18",Province 18,"80",Ward 80,HOME,0,2026-05-13
ADDR_HIST_1000081,"1000081",Address 1000081,"19",Province 19,"81",Ward 81,WORK,1,2026-05-13
ADDR_HIST_1000082,"1000082",Address 1000082,"20",Province 20,"82",Ward 82,HOME,1,2026-05-13
ADDR_HIST_1000083,"1000083",Address 1000083,"21",Province 21,"83",Ward 83,WORK,1,2026-05-13
ADDR_HIST_1000084,"1000084",Address 1000084,"22",Province 22,"84",Ward 84,HOME,1,2026-05-13
ADDR_HIST_1000085,"1000085",Address 1000085,"23",Province 23,"85",Ward 85,WORK,0,2026-05-13
ADDR_HIST_1000086,"1000086",Address 1000086,"24",Province 24,"86",Ward 86,HOME,1,2026-05-13
ADDR_HIST_1000087,"1000087",Address 1000087,"25",Province 25,"87",Ward 87,WORK,1,2026-05-13
ADDR_HIST_1000088,"1000088",Address 1000088,"26",Province 26,"88",Ward 88,HOME,1,2026-05-13
ADDR_HIST_1000089,"1000089",Address 1000089,"27",Province 27,"89",Ward 89,WORK,1,2026-05-13
ADDR_HIST_100009,"100009",Address 100009,"28",Province 28,"9",Ward 9,WORK,1,2026-05-13
ADDR_HIST_1000090,"1000090",Address 1000090,"28",Province 28,"90",Ward 90,HOME,0,2026-05-13
ADDR_HIST_1000091,"1000091",Address 1000091,"29",Province 29,"91",Ward 91,WORK,1,2026-05-13
ADDR_HIST_1000092,"1000092",Address 1000092,"30",Province 30,"92",Ward 92,HOME,1,2026-05-13
ADDR_HIST_1000093,"1000093",Address 1000093,"31",Province 31,"93",Ward 93,WORK,1,2026-05-13
ADDR_HIST_1000094,"1000094",Address 1000094,"32",Province 32,"94",Ward 94,HOME,1,2026-05-13
ADDR_HIST_1000095,"1000095",Address 1000095,"33",Province 33,"95",Ward 95,WORK,0,2026-05-13
ADDR_HIST_1000096,"1000096",Address 1000096,"34",Province 34,"96",Ward 96,HOME,1,2026-05-13
ADDR_HIST_1000097,"1000097",Address 1000097,"35",Province 35,"97",Ward 97,WORK,1,2026-05-13
ADDR_HIST_1000098,"1000098",Address 1000098,"36",Province 36,"98",Ward 98,HOME,1,2026-05-13
ADDR_HIST_1000099,"1000099",Address 1000099,"37",Province 37,"99",Ward 99,WORK,1,2026-05-13
ADDR_HIST_10001,"10001",Address 10001,"47",Province 47,"1",Ward 1,WORK,1,2026-05-13
ADDR_HIST_100010,"100010",Address 100010,"29",Province 29,"10",Ward 10,HOME,0,2026-05-13
ADDR_HIST_1000100,"1000100",Address 1000100,"38",Province 38,"100",Ward 100,HOME,0,2026-05-13
ADDR_HIST_1000101,"1000101",Address 1000101,"39",Province 39,"101",Ward 101,WORK,1,2026-05-13
ADDR_HIST_1000102,"1000102",Address 1000102,"40",Province 40,"102",Ward 102,HOME,1,2026-05-13
ADDR_HIST_1000103,"1000103",Address 1000103,"41",Province 41,"103",Ward 103,WORK,1,2026-05-13
ADDR_HIST_1000104,"1000104",Address 1000104,"42",Province 42,"104",Ward 104,HOME,1,2026-05-13
ADDR_HIST_1000105,"1000105",Address 1000105,"43",Province 43,"105",Ward 105,WORK,0,2026-05-13
ADDR_HIST_1000106,"1000106",Address 1000106,"44",Province 44,"106",Ward 106,HOME,1,2026-05-13
ADDR_HIST_1000107,"1000107",Address 1000107,"45",Province 45,"107",Ward 107,WORK,1,2026-05-13
ADDR_HIST_1000108,"1000108",Address 1000108,"46",Province 46,"108",Ward 108,HOME,1,2026-05-13
ADDR_HIST_1000109,"1000109",Address 1000109,"47",Province 47,"109",Ward 109,WORK,1,2026-05-13
ADDR_HIST_100011,"100011",Address 100011,"30",Province 30,"11",Ward 11,WORK,1,2026-05-13
ADDR_HIST_1000110,"1000110",Address 1000110,"48",Province 48,"110",Ward 110,HOME,0,2026-05-13
ADDR_HIST_1000111,"1000111",Address 1000111,"49",Province 49,"111",Ward 111,WORK,1,2026-05-13
ADDR_HIST_1000112,"1000112",Address 1000112,"50",Province 50,"112",Ward 112,HOME,1,2026-05-13
ADDR_HIST_1000113,"1000113",Address 1000113,"51",Province 51,"113",Ward 113,WORK,1,2026-05-13
ADDR_HIST_1000114,"1000114",Address 1000114,"52",Province 52,"114",Ward 114,HOME,1,2026-05-13
ADDR_HIST_1000115,"1000115",Address 1000115,"53",Province 53,"115",Ward 115,WORK,0,2026-05-13
ADDR_HIST_1000116,"1000116",Address 1000116,"54",Province 54,"116",Ward 116,HOME,1,2026-05-13
ADDR_HIST_1000117,"1000117",Address 1000117,"55",Province 55,"117",Ward 117,WORK,1,2026-05-13
ADDR_HIST_1000118,"1000118",Address 1000118,"56",Province 56,"118",Ward 118,HOME,1,2026-05-13
ADDR_HIST_1000119,"1000119",Address 1000119,"57",Province 57,"119",Ward 119,WORK,1,2026-05-13
ADDR_HIST_100012,"100012",Address 100012,"31",Province 31,"12",Ward 12,HOME,1,2026-05-13
ADDR_HIST_1000120,"1000120",Address 1000120,"58",Province 58,"120",Ward 120,HOME,0,2026-05-13
ADDR_HIST_1000121,"1000121",Address 1000121,"59",Province 59,"121",Ward 121,WORK,1,2026-05-13
ADDR_HIST_1000122,"1000122",Address 1000122,"60",Province 60,"122",Ward 122,HOME,1,2026-05-13
ADDR_HIST_1000123,"1000123",Address 1000123,"61",Province 61,"123",Ward 123,WORK,1,2026-05-13
ADDR_HIST_1000124,"1000124",Address 1000124,"62",Province 62,"124",Ward 124,HOME,1,2026-05-13
ADDR_HIST_1000125,"1000125",Address 1000125,"0",Province 0,"125",Ward 125,WORK,0,2026-05-13
ADDR_HIST_1000126,"1000126",Address 1000126,"1",Province 1,"126",Ward 126,HOME,1,2026-05-13
ADDR_HIST_1000127,"1000127",Address 1000127,"2",Province 2,"127",Ward 127,WORK,1,2026-05-13
ADDR_HIST_1000128,"1000128",Address 1000128,"3",Province 3,"128",Ward 128,HOME,1,2026-05-13
ADDR_HIST_1000129,"1000129",Address 1000129,"4",Province 4,"129",Ward 129,WORK,1,2026-05-13
ADDR_HIST_100013,"100013",Address 100013,"32",Province 32,"13",Ward 13,WORK,1,2026-05-13
ADDR_HIST_1000130,"1000130",Address 1000130,"5",Province 5,"130",Ward 130,HOME,0,2026-05-13
ADDR_HIST_1000131,"1000131",Address 1000131,"6",Province 6,"131",Ward 131,WORK,1,2026-05-13
ADDR_HIST_1000132,"1000132",Address 1000132,"7",Province 7,"132",Ward 132,HOME,1,2026-05-13
ADDR_HIST_1000133,"1000133",Address 1000133,"8",Province 8,"133",Ward 133,WORK,1,2026-05-13
ADDR_HIST_1000134,"1000134",Address 1000134,"9",Province 9,"134",Ward 134,HOME,1,2026-05-13
ADDR_HIST_1000135,"1000135",Address 1000135,"10",Province 10,"135",Ward 135,WORK,0,2026-05-13
ADDR_HIST_1000136,"1000136",Address 1000136,"11",Province 11,"136",Ward 136,HOME,1,2026-05-13
ADDR_HIST_1000137,"1000137",Address 1000137,"12",Province 12,"137",Ward 137,WORK,1,2026-05-13
ADDR_HIST_1000138,"1000138",Address 1000138,"13",Province 13,"138",Ward 138,HOME,1,2026-05-13
ADDR_HIST_1000139,"1000139",Address 1000139,"14",Province 14,"139",Ward 139,WORK,1,2026-05-13
ADDR_HIST_100014,"100014",Address 100014,"33",Province 33,"14",Ward 14,HOME,1,2026-05-13
ADDR_HIST_1000140,"1000140",Address 1000140,"15",Province 15,"140",Ward 140,HOME,0,2026-05-13
ADDR_HIST_1000141,"1000141",Address 1000141,"16",Province 16,"141",Ward 141,WORK,1,2026-05-13
ADDR_HIST_1000142,"1000142",Address 1000142,"17",Province 17,"142",Ward 142,HOME,1,2026-05-13
ADDR_HIST_1000143,"1000143",Address 1000143,"18",Province 18,"143",Ward 143,WORK,1,2026-05-13
ADDR_HIST_1000144,"1000144",Address 1000144,"19",Province 19,"144",Ward 144,HOME,1,2026-05-13
ADDR_HIST_1000145,"1000145",Address 1000145,"20",Province 20,"145",Ward 145,WORK,0,2026-05-13
ADDR_HIST_1000146,"1000146",Address 1000146,"21",Province 21,"146",Ward 146,HOME,1,2026-05-13
ADDR_HIST_1000147,"1000147",Address 1000147,"22",Province 22,"147",Ward 147,WORK,1,2026-05-13
ADDR_HIST_1000148,"1000148",Address 1000148,"23",Province 23,"148",Ward 148,HOME,1,2026-05-13
ADDR_HIST_1000149,"1000149",Address 1000149,"24",Province 24,"149",Ward 149,WORK,1,2026-05-13
ADDR_HIST_100015,"100015",Address 100015,"34",Province 34,"15",Ward 15,WORK,0,2026-05-13
ADDR_HIST_1000150,"1000150",Address 1000150,"25",Province 25,"150",Ward 150,HOME,0,2026-05-13
ADDR_HIST_1000151,"1000151",Address 1000151,"26",Province 26,"151",Ward 151,WORK,1,2026-05-13
ADDR_HIST_1000152,"1000152",Address 1000152,"27",Province 27,"152",Ward 152,HOME,1,2026-05-13
ADDR_HIST_1000153,"1000153",Address 1000153,"28",Province 28,"153",Ward 153,WORK,1,2026-05-13
ADDR_HIST_1000154,"1000154",Address 1000154,"29",Province 29,"154",Ward 154,HOME,1,2026-05-13
ADDR_HIST_1000155,"1000155",Address 1000155,"30",Province 30,"155",Ward 155,WORK,0,2026-05-13
ADDR_HIST_1000156,"1000156",Address 1000156,"31",Province 31,"156",Ward 156,HOME,1,2026-05-13
ADDR_HIST_1000157,"1000157",Address 1000157,"32",Province 32,"157",Ward 157,WORK,1,2026-05-13
ADDR_HIST_1000158,"1000158",Address 1000158,"33",Province 33,"158",Ward 158,HOME,1,2026-05-13
ADDR_HIST_1000159,"1000159",Address 1000159,"34",Province 34,"159",Ward 159,WORK,1,2026-05-13
ADDR_HIST_100016,"100016",Address 100016,"35",Province 35,"16",Ward 16,HOME,1,2026-05-13
ADDR_HIST_1000160,"1000160",Address 1000160,"35",Province 35,"160",Ward 160,HOME,0,2026-05-13
ADDR_HIST_1000161,"1000161",Address 1000161,"36",Province 36,"161",Ward 161,WORK,1,2026-05-13
ADDR_HIST_1000162,"1000162",Address 1000162,"37",Province 37,"162",Ward 162,HOME,1,2026-05-13
ADDR_HIST_1000163,"1000163",Address 1000163,"38",Province 38,"163",Ward 163,WORK,1,2026-05-13
ADDR_HIST_1000164,"1000164",Address 1000164,"39",Province 39,"164",Ward 164,HOME,1,2026-05-13
ADDR_HIST_1000165,"1000165",Address 1000165,"40",Province 40,"165",Ward 165,WORK,0,2026-05-13
ADDR_HIST_1000166,"1000166",Address 1000166,"41",Province 41,"166",Ward 166,HOME,1,2026-05-13
ADDR_HIST_1000167,"1000167",Address 1000167,"42",Province 42,"167",Ward 167,WORK,1,2026-05-13
ADDR_HIST_1000168,"1000168",Address 1000168,"43",Province 43,"168",Ward 168,HOME,1,2026-05-13
ADDR_HIST_1000169,"1000169",Address 1000169,"44",Province 44,"169",Ward 169,WORK,1,2026-05-13
ADDR_HIST_100017,"100017",Address 100017,"36",Province 36,"17",Ward 17,WORK,1,2026-05-13
ADDR_HIST_1000170,"1000170",Address 1000170,"45",Province 45,"170",Ward 170,HOME,0,2026-05-13
ADDR_HIST_1000171,"1000171",Address 1000171,"46",Province 46,"171",Ward 171,WORK,1,2026-05-13
ADDR_HIST_1000172,"1000172",Address 1000172,"47",Province 47,"172",Ward 172,HOME,1,2026-05-13
ADDR_HIST_1000173,"1000173",Address 1000173,"48",Province 48,"173",Ward 173,WORK,1,2026-05-13
ADDR_HIST_1000174,"1000174",Address 1000174,"49",Province 49,"174",Ward 174,HOME,1,2026-05-13
ADDR_HIST_1000175,"1000175",Address 1000175,"50",Province 50,"175",Ward 175,WORK,0,2026-05-13
ADDR_HIST_1000176,"1000176",Address 1000176,"51",Province 51,"176",Ward 176,HOME,1,2026-05-13
ADDR_HIST_1000177,"1000177",Address 1000177,"52",Province 52,"177",Ward 177,WORK,1,2026-05-13
ADDR_HIST_1000178,"1000178",Address 1000178,"53",Province 53,"178",Ward 178,HOME,1,2026-05-13
ADDR_HIST_1000179,"1000179",Address 1000179,"54",Province 54,"179",Ward 179,WORK,1,2026-05-13
ADDR_HIST_100018,"100018",Address 100018,"37",Province 37,"18",Ward 18,HOME,1,2026-05-13
ADDR_HIST_1000180,"1000180",Address 1000180,"55",Province 55,"180",Ward 180,HOME,0,2026-05-13
ADDR_HIST_1000181,"1000181",Address 1000181,"56",Province 56,"181",Ward 181,WORK,1,2026-05-13
ADDR_HIST_1000182,"1000182",Address 1000182,"57",Province 57,"182",Ward 182,HOME,1,2026-05-13
ADDR_HIST_1000183,"1000183",Address 1000183,"58",Province 58,"183",Ward 183,WORK,1,2026-05-13
ADDR_HIST_1000184,"1000184",Address 1000184,"59",Province 59,"184",Ward 184,HOME,1,2026-05-13
ADDR_HIST_1000185,"1000185",Address 1000185,"60",Province 60,"185",Ward 185,WORK,0,2026-05-13
ADDR_HIST_1000186,"1000186",Address 1000186,"61",Province 61,"186",Ward 186,HOME,1,2026-05-13
ADDR_HIST_1000187,"1000187",Address 1000187,"62",Province 62,"187",Ward 187,WORK,1,2026-05-13
ADDR_HIST_1000188,"1000188",Address 1000188,"0",Province 0,"188",Ward 188,HOME,1,2026-05-13
ADDR_HIST_1000189,"1000189",Address 1000189,"1",Province 1,"189",Ward 189,WORK,1,2026-05-13
ADDR_HIST_100019,"100019",Address 100019,"38",Province 38,"19",Ward 19,WORK,1,2026-05-13
ADDR_HIST_1000190,"1000190",Address 1000190,"2",Province 2,"190",Ward 190,HOME,0,2026-05-13
ADDR_HIST_1000191,"1000191",Address 1000191,"3",Province 3,"191",Ward 191,WORK,1,2026-05-13
ADDR_HIST_1000192,"1000192",Address 1000192,"4",Province 4,"192",Ward 192,HOME,1,2026-05-13
ADDR_HIST_1000193,"1000193",Address 1000193,"5",Province 5,"193",Ward 193,WORK,1,2026-05-13
ADDR_HIST_1000194,"1000194",Address 1000194,"6",Province 6,"194",Ward 194,HOME,1,2026-05-13
ADDR_HIST_1000195,"1000195",Address 1000195,"7",Province 7,"195",Ward 195,WORK,0,2026-05-13
ADDR_HIST_1000196,"1000196",Address 1000196,"8",Province 8,"196",Ward 196,HOME,1,2026-05-13
ADDR_HIST_1000197,"1000197",Address 1000197,"9",Province 9,"197",Ward 197,WORK,1,2026-05-13
ADDR_HIST_1000198,"1000198",Address 1000198,"10",Province 10,"198",Ward 198,HOME,1,2026-05-13
ADDR_HIST_1000199,"1000199",Address 1000199,"11",Province 11,"199",Ward 199,WORK,1,2026-05-13
ADDR_HIST_10002,"10002",Address 10002,"48",Province 48,"2",Ward 2,HOME,1,2026-05-13
ADDR_HIST_100020,"100020",Address 100020,"39",Province 39,"20",Ward 20,HOME,0,2026-05-13
ADDR_HIST_1000200,"1000200",Address 1000200,"12",Province 12,"200",Ward 200,HOME,0,2026-05-13
ADDR_HIST_1000201,"1000201",Address 1000201,"13",Province 13,"201",Ward 201,WORK,1,2026-05-13
ADDR_HIST_1000202,"1000202",Address 1000202,"14",Province 14,"202",Ward 202,HOME,1,2026-05-13
ADDR_HIST_1000203,"1000203",Address 1000203,"15",Province 15,"203",Ward 203,WORK,1,2026-05-13
ADDR_HIST_1000204,"1000204",Address 1000204,"16",Province 16,"204",Ward 204,HOME,1,2026-05-13
ADDR_HIST_1000205,"1000205",Address 1000205,"17",Province 17,"205",Ward 205,WORK,0,2026-05-13
ADDR_HIST_1000206,"1000206",Address 1000206,"18",Province 18,"206",Ward 206,HOME,1,2026-05-13
ADDR_HIST_1000207,"1000207",Address 1000207,"19",Province 19,"207",Ward 207,WORK,1,2026-05-13
ADDR_HIST_1000208,"1000208",Address 1000208,"20",Province 20,"208",Ward 208,HOME,1,2026-05-13
ADDR_HIST_1000209,"1000209",Address 1000209,"21",Province 21,"209",Ward 209,WORK,1,2026-05-13
ADDR_HIST_100021,"100021",Address 100021,"40",Province 40,"21",Ward 21,WORK,1,2026-05-13
ADDR_HIST_1000210,"1000210",Address 1000210,"22",Province 22,"210",Ward 210,HOME,0,2026-05-13
ADDR_HIST_1000211,"1000211",Address 1000211,"23",Province 23,"211",Ward 211,WORK,1,2026-05-13
ADDR_HIST_1000212,"1000212",Address 1000212,"24",Province 24,"212",Ward 212,HOME,1,2026-05-13
ADDR_HIST_1000213,"1000213",Address 1000213,"25",Province 25,"213",Ward 213,WORK,1,2026-05-13
ADDR_HIST_1000214,"1000214",Address 1000214,"26",Province 26,"214",Ward 214,HOME,1,2026-05-13
ADDR_HIST_1000215,"1000215",Address 1000215,"27",Province 27,"215",Ward 215,WORK,0,2026-05-13
ADDR_HIST_1000216,"1000216",Address 1000216,"28",Province 28,"216",Ward 216,HOME,1,2026-05-13
ADDR_HIST_1000217,"1000217",Address 1000217,"29",Province 29,"217",Ward 217,WORK,1,2026-05-13
ADDR_HIST_1000218,"1000218",Address 1000218,"30",Province 30,"218",Ward 218,HOME,1,2026-05-13
ADDR_HIST_1000219,"1000219",Address 1000219,"31",Province 31,"219",Ward 219,WORK,1,2026-05-13
ADDR_HIST_100022,"100022",Address 100022,"41",Province 41,"22",Ward 22,HOME,1,2026-05-13
ADDR_HIST_1000220,"1000220",Address 1000220,"32",Province 32,"220",Ward 220,HOME,0,2026-05-13
ADDR_HIST_1000221,"1000221",Address 1000221,"33",Province 33,"221",Ward 221,WORK,1,2026-05-13
ADDR_HIST_1000222,"1000222",Address 1000222,"34",Province 34,"222",Ward 222,HOME,1,2026-05-13
ADDR_HIST_1000223,"1000223",Address 1000223,"35",Province 35,"223",Ward 223,WORK,1,2026-05-13
