"customer_id","group_customer_id","customer_name_encrypted","customer_age","customer_gender","customer_pronoun","customer_province_code","customer_province_name","customer_ward_code","customer_ward_name","customer_address","customer_hometown","customer_career","_record_date"
"1000006","6",NSLjY15l8cgT38+JjMYJ82aVHS3O6CtdOxdrMiu2pVKss9rK9CobTb8jUk8=,66,Male,Mr,PROV_7,Province 7,WARD_6,Ward 6,Address 1000006,Hometown 7,Career 6,2026-05-15
"1000007","7",k9O4umZbEFCwyFb0ZRm09d3z3Wkx4lBvfcB4uZUDeZUGKkQTWHaXlIPchjw=,67,Female,Ms,PROV_8,Province 8,WARD_7,Ward 7,Address 1000007,Hometown 8,Career 7,2026-05-15
"1000008","8",os/iTP4Nv3jUtjHAnoQqrAs4S5CMCVJqsMYEWSmCwBW8kHUL3XAGjNc+80c=,68,Male,Mr,PROV_9,Province 9,WARD_8,Ward 8,Address 1000008,Hometown 9,Career 8,2026-05-15
"1000009","9","19Xh1I/kR3GhVtiJBu7g/b8zuHfJsxwWPL586huOYHXUENsPTUzd1zXfMoc=",69,Female,Ms,PROV_10,Province 10,WARD_9,Ward 9,Address 1000009,Hometown 10,Career 9,2026-05-15
"100001","1",ySlsac0dPp/JjaEtqdD2ZLeBNy5dsoVe+JKHKfZt2AzmfCLBeATZTakYhg==,61,Female,Ms,PROV_20,Province 20,WARD_1,Ward 1,Address 100001,Hometown 20,Career 1,2026-05-15
"1000010","10",j7Mt11eFCwm+H2eR3LTgA/2QKwv3xfMI2Tn8DklllToSE16AF1nq/Afaam8=,70,Male,Mr,PROV_11,Province 11,WARD_10,Ward 10,Address 1000010,Hometown 11,Career 10,2026-05-15
"1000011","11",YyTMUIzPEFRZlKJ3YS3Nxf0tzx2E/EG0YjL/JcAJerQV2WEPhMFSMN01xuY=,71,Female,Ms,PROV_12,Province 12,WARD_11,Ward 11,Address 1000011,Hometown 12,Career 11,2026-05-15
"1000012","12",pJB+BUPcZfL7zosi3HAcdKc+QDbcnwkPzv9QueD9fr3Gfrwl8UTsVLnXBzI=,72,Male,Mr,PROV_13,Province 13,WARD_12,Ward 12,Address 1000012,Hometown 13,Career 12,2026-05-15
"1000013","13",hkxCM/Q1tffE1zPacdIeFYB4H+xxaBUvVJ/TrriVMJ2OEWw/q05ckzcWSlo=,73,Female,Ms,PROV_14,Province 14,WARD_13,Ward 13,Address 1000013,Hometown 14,Career 13,2026-05-15
"1000014","14","9NQBFPxVF8GnJY8Iu9yx07pWjLc8vbkvPe6W9O4yc/7Y6Rp0cG6GGUx0jXw=",74,Male,Mr,PROV_15,Province 15,WARD_14,Ward 14,Address 1000014,Hometown 15,Career 14,2026-05-15
"1000015","15",vksw+t+FB7+rGWXH6d9NEVLDzg2T+eozmKTSkF+LYO2mRugArqc8sRzN6r8=,75,Female,Ms,PROV_16,Province 16,WARD_15,Ward 15,Address 1000015,Hometown 16,Career 15,2026-05-15
"1000016","16",cPkLOdhsWhu+AdBvRkPJD3pCWOITXQ2KQCu4mdszFDUCX4SSt5EPXZevftY=,76,Male,Mr,PROV_17,Province 17,WARD_16,Ward 16,Address 1000016,Hometown 17,Career 16,2026-05-15
"1000017","17",gORowUsy4dzC3kXO4cvQnV/Sc1ldeqwztd/TZb4Tm9vvel6Fzm4Ja4WO4GI=,77,Female,Ms,PROV_18,Province 18,WARD_17,Ward 17,Address 1000017,Hometown 18,Career 17,2026-05-15
"1000018","18","3FdgYGkMXuCYnBO4geOf51E1okab+B+mHfs8gxKpYnZcSdlS1/FZvQfqhoM=",78,Male,Mr,PROV_19,Province 19,WARD_18,Ward 18,Address 1000018,Hometown 19,Career 18,2026-05-15
"1000019","19",i1jUpD15UqhjT0rIcMTitLn+7G6uw8OxjvouMuGo9lv+f8ox31IySdQ6Cdo=,79,Female,Ms,PROV_20,Province 20,WARD_19,Ward 19,Address 1000019,Hometown 20,Career 19,2026-05-15
"100002","2",iYRW5YY1F44fCcOeEuT4GsC9dRBnPaqNtHLML8qeaNrpd46VZA1th6MLlQ==,62,Male,Mr,PROV_21,Province 21,WARD_2,Ward 2,Address 100002,Hometown 21,Career 2,2026-05-15
"1000020","20","8fQu00BJfyw8V9vsqIIQkv+9jrjdaCfdg0qKpeWvRZMNn9P6kPq0+mHr3iA=",20,Male,Mr,PROV_21,Province 21,WARD_20,Ward 20,Address 1000020,Hometown 21,Career 0,2026-05-15
"1000021","21",x+aJYWXue0wlQtdZsjPqi/2+9mHoSlgtJNUeqE/R7U+G47O4omXYPFfUQlI=,21,Female,Ms,PROV_22,Province 22,WARD_21,Ward 21,Address 1000021,Hometown 22,Career 1,2026-05-15
"1000022","22","2DdNeCHBQC/2WJrfDwDc4jnjGmooTRO3v9m99lIhM/ZmoIMTz2vYsVv5kNI=",22,Male,Mr,PROV_23,Province 23,WARD_22,Ward 22,Address 1000022,Hometown 23,Career 2,2026-05-15
"1000023","23","99Nra/wGjJTqEOE+VLUA5HClyroDYTtcNbQvzxMjjIgfYu7npGy+mZR8tiE=",23,Female,Ms,PROV_24,Province 24,WARD_23,Ward 23,Address 1000023,Hometown 24,Career 3,2026-05-15
"1000024","24",/u+K4debC9wVCTZ55K32BL4Kad1lV6gem6yyYPGEMK4IlCg5nQ2qzkD9VHk=,24,Male,Mr,PROV_25,Province 25,WARD_24,Ward 24,Address 1000024,Hometown 25,Career 4,2026-05-15
"1000025","25",Ty8vRX8n+B7+f6hcV9cv1wKz30cL0oLTOiKqZBS3ADhIfARBQGMY1XV9pWU=,25,Female,Ms,PROV_26,Province 26,WARD_25,Ward 25,Address 1000025,Hometown 26,Career 5,2026-05-15
"1000026","26",fq/8i1k+1z/QsZ3YTDXWcEzVQhfsRY8Tio61IEOXA5NdccgvzvbHdX6gf1Y=,26,Male,Mr,PROV_27,Province 27,WARD_26,Ward 26,Address 1000026,Hometown 27,Career 6,2026-05-15
"1000027","27",wHesk/QUWOW/f1F8gvY0DlvCwKtq16lN7INA3La3xNXhNp9zb8KwmcXg2+I=,27,Female,Ms,PROV_28,Province 28,WARD_27,Ward 27,Address 1000027,Hometown 28,Career 7,2026-05-15
"1000028","28","95uWgyL5sCMKwUuUiG35v1LmShiNGkducBQmE/VNHyh+NikFFURgbm7rLnQ=",28,Male,Mr,PROV_29,Province 29,WARD_28,Ward 28,Address 1000028,Hometown 29,Career 8,2026-05-15
"1000029","29",E1KYiLfIwm87eMyJ7sdnkRgoBW6EsqVb50/BXU5G32E0zd39rrhttjmHEp4=,29,Female,Ms,PROV_30,Province 30,WARD_29,Ward 29,Address 1000029,Hometown 30,Career 9,2026-05-15
"100003","3","8g8y+m0A/On478t8nhNHWkWDN/zbu/3u7bOOfOvWOUTqVc2yrXqim/g7KQ==",63,Female,Ms,PROV_22,Province 22,WARD_3,Ward 3,Address 100003,Hometown 22,Career 3,2026-05-15
"1000030","30",dnT2PGvYIuAXvtUP7BbRNrzEsqw1Oqceuz7H683QKBq0idJY/MHe6NIzg4I=,30,Male,Mr,PROV_31,Province 31,WARD_30,Ward 30,Address 1000030,Hometown 31,Career 10,2026-05-15
"1000031","31",zotFwW1jJFi9POvpQ3Dm/4FI66cFD68Qs7u+PY5F8JdYYhj0KjOLN3rg0HY=,31,Female,Ms,PROV_32,Province 32,WARD_31,Ward 31,Address 1000031,Hometown 32,Career 11,2026-05-15
"1000032","32",fG0JmOHqRo6kfuRN3R/aw8xwmPxjC9nNH5ywTk4YZg/4JJAU7D45S6vcjr8=,32,Male,Mr,PROV_33,Province 33,WARD_32,Ward 32,Address 1000032,Hometown 33,Career 12,2026-05-15
"1000033","33",yQusUUhCr+9HtElAbC4Or4PbEEa/qnVInHk8GueY+3HMa0fOt8yIP/9IDJI=,33,Female,Ms,PROV_34,Province 34,WARD_33,Ward 33,Address 1000033,Hometown 34,Career 13,2026-05-15
"1000034","34",xoPpMoNbcs3cOzEvpJVvHMzk5dZTlClXpwi0NLwRrZV5IFU8BZmdL0S2VDY=,34,Male,Mr,PROV_35,Province 35,WARD_34,Ward 34,Address 1000034,Hometown 35,Career 14,2026-05-15
"1000035","35",qjjTSt4C1+9dzBVd+YAAXUq/Swxn6WzUqHyz9jwsaj38C2sgn7lh6eBPVok=,35,Female,Ms,PROV_36,Province 36,WARD_35,Ward 35,Address 1000035,Hometown 36,Career 15,2026-05-15
"1000036","36",mcWZdKcO9pNkWy8vZLu1fue/ggWTP/lWG7DURBC7NdvH8Sj+a+8LSLsyPpw=,36,Male,Mr,PROV_37,Province 37,WARD_36,Ward 36,Address 1000036,Hometown 37,Career 16,2026-05-15
"1000037","37",CvQOhwgprbDqqvYvIkT6sczT16YoRALB3JloR3QYWnY7BPuJeuzidvXcOy0=,37,Female,Ms,PROV_38,Province 38,WARD_37,Ward 37,Address 1000037,Hometown 38,Career 17,2026-05-15
"1000038","38",xmxvz1FMGyiMP0P/DgYsHYCsZH33m7G1zThFK0JVHZwHUW5H64t4PuV/+Qc=,38,Male,Mr,PROV_39,Province 39,WARD_38,Ward 38,Address 1000038,Hometown 39,Career 18,2026-05-15
"1000039","39",STGoFF6mbUrP+kQ9ZMMzxVlA1ouLuvmliL2tdqb7krCR7ypSjP6w9nFS3So=,39,Female,Ms,PROV_40,Province 40,WARD_39,Ward 39,Address 1000039,Hometown 40,Career 19,2026-05-15
"100004","4",wEpLPIkywWASiZHZZFx9z/dMzpSpjZyMWK1BbTb0Cl2A2rFzra0MG79tGw==,64,Male,Mr,PROV_23,Province 23,WARD_4,Ward 4,Address 100004,Hometown 23,Career 4,2026-05-15
"1000040","40",yfSdXa8KsWP1GTMVnZ3dNi/PaKMkI4z0f3OZp9kLqWcVy38O/Lr5KjWxclg=,40,Male,Mr,PROV_41,Province 41,WARD_40,Ward 40,Address 1000040,Hometown 41,Career 0,2026-05-15
"1000041","41",GgGbggghr0Es7V87KsNZiqXEXMQOFqu5Z3GWKM5S50jv77ukN59BhY8Nwz0=,41,Female,Ms,PROV_42,Province 42,WARD_41,Ward 41,Address 1000041,Hometown 42,Career 1,2026-05-15
"1000042","42",jL7ZUktLM+FMRRe9r98uPhLMWadCzqX2WgLS5n3JbP231usoxhNQudIkQpY=,42,Male,Mr,PROV_43,Province 43,WARD_42,Ward 42,Address 1000042,Hometown 43,Career 2,2026-05-15
"1000043","43",vrruRfSYXMWfDATcFLhP0dzJG6NzZX16oKaVaDELsG6HMsrSjdPlLVGrydw=,43,Female,Ms,PROV_44,Province 44,WARD_43,Ward 43,Address 1000043,Hometown 44,Career 3,2026-05-15
"1000044","44",dIPKb0h0hB14ek++M8qe4hsZAEIS50CpLP8KfIT9BontH8NDcvcZdr9J4vw=,44,Male,Mr,PROV_45,Province 45,WARD_44,Ward 44,Address 1000044,Hometown 45,Career 4,2026-05-15
"1000045","45",WNY3CnxH1PlF4f3GSR8LWXPIVSON83i4OTNzqfDUcGoSR5htLm+IqZ1e5Go=,45,Female,Ms,PROV_46,Province 46,WARD_45,Ward 45,Address 1000045,Hometown 46,Career 5,2026-05-15
"1000046","46",AJ0bzdqQ34illXFvUjUpnU7/RwZhRrp3SO62e0nhixAni6oxAzOEmylppF4=,46,Male,Mr,PROV_47,Province 47,WARD_46,Ward 46,Address 1000046,Hometown 47,Career 6,2026-05-15
"1000047","47",NQ26e92tbimlScNMbuE9cgm5WbeYlSGxzxoYLb1DP0khxvcDVgjIgNjJ3tA=,47,Female,Ms,PROV_48,Province 48,WARD_47,Ward 47,Address 1000047,Hometown 48,Career 7,2026-05-15
"1000048","48",+Kamxhm/oc1G/2ceEDdSt3OyAjaXeauE5UVM1BGEOAIP/1Ni2Gs3zc6Ji2E=,48,Male,Mr,PROV_49,Province 49,WARD_48,Ward 48,Address 1000048,Hometown 49,Career 8,2026-05-15
"1000049","49","0LIhFNhb4WBvVEWgb5A4JEm3gMCHhMcVqrXnEpmoQM6W0vLsoQyBnrRzr3E=",49,Female,Ms,PROV_50,Province 50,WARD_49,Ward 49,Address 1000049,Hometown 50,Career 9,2026-05-15
"100005","5",S7T7h0zJVjtS65eB4JrTUEyqGk0TbzoDyRiQxrpft6P/eGQcxCh01A2XGg==,65,Female,Ms,PROV_24,Province 24,WARD_5,Ward 5,Address 100005,Hometown 24,Career 5,2026-05-15
"1000050","50",BqTdWFsCvYcpfpXhEkfjC3uCGtRXwaifBk5JurCd5N3KXgudWj77k0H93CE=,50,Male,Mr,PROV_51,Province 51,WARD_50,Ward 50,Address 1000050,Hometown 51,Career 10,2026-05-15
"1000051","51",l4pPDlNIejIfmbupYrGG9IBykfLUbP30N/XOXP4YH2U9jwhqNsGg9LQiHDg=,51,Female,Ms,PROV_52,Province 52,WARD_51,Ward 51,Address 1000051,Hometown 52,Career 11,2026-05-15
"1000052","52",XlHrpZBCK6AMLhre0N2N9HvYnxFJJaHJcu8SDfK5RKC2FRPDbDygIycTpLg=,52,Male,Mr,PROV_53,Province 53,WARD_52,Ward 52,Address 1000052,Hometown 53,Career 12,2026-05-15
"1000053","53",fcNYqM7/z91mz+shkQugiPPaP/O6fP10jM7+jCsBKoyiwdtVcoSsUypAyLY=,53,Female,Ms,PROV_54,Province 54,WARD_53,Ward 53,Address 1000053,Hometown 54,Career 13,2026-05-15
"1000054","54",Mxd++bW1pd62vcqcDo/CxiIgW62RtCe0ZnLNHff4RfBbRn76xEsrftd1CoQ=,54,Male,Mr,PROV_55,Province 55,WARD_54,Ward 54,Address 1000054,Hometown 55,Career 14,2026-05-15
"1000055","55",+BuisKDI9iUyeiy4xS3S9IsZtvqrrs6WEnEaBIODmHKM1Q/WYMTlZ5hME7M=,55,Female,Ms,PROV_56,Province 56,WARD_55,Ward 55,Address 1000055,Hometown 56,Career 15,2026-05-15
"1000056","56",BCMVKYwCgMk408SPYGsC3aTBvxGp9ElmFHQeT1H01A+GnBjiE1JO+N800H4=,56,Male,Mr,PROV_57,Province 57,WARD_56,Ward 56,Address 1000056,Hometown 57,Career 16,2026-05-15
"1000057","57",HWsGpI0XK/vXtf3SYE1uVEntO9zWedoICmuk3wDRBLbqRNlqbxVwyN3lVYs=,57,Female,Ms,PROV_58,Province 58,WARD_57,Ward 57,Address 1000057,Hometown 58,Career 17,2026-05-15
"1000058","58",T0HPvaMQk3dv4N6fiqWXbTInykUskKgaR21rOJvE29NSnDTA0hPD+S1jakQ=,58,Male,Mr,PROV_59,Province 59,WARD_58,Ward 58,Address 1000058,Hometown 59,Career 18,2026-05-15
"1000059","59",Et7VsrxT6BGhz+PAyDg1FRRcjtFN1JIC5HJDFiZynlLa0k5z3bptZdYQej4=,59,Female,Ms,PROV_60,Province 60,WARD_59,Ward 59,Address 1000059,Hometown 60,Career 19,2026-05-15
"100006","6",Jacv/G8FGXppOlDX/DD7J6A4zimaEL1ovQCp2/55T2QyNTOx2lI+LNkDbA==,66,Male,Mr,PROV_25,Province 25,WARD_6,Ward 6,Address 100006,Hometown 25,Career 6,2026-05-15
"1000060","60",iiZ9jBXc/1rPQeTaeFn7EeA1B9ANWNaMPTpmy9BtWGVNmj6Qw9dkh4XxDJA=,60,Male,Mr,PROV_61,Province 61,WARD_60,Ward 60,Address 1000060,Hometown 61,Career 0,2026-05-15
"1000061","61",iSv09yKF3uF4MG8sXfjOb7ZsrP9i1014tfDkAG+H062p1LMW5Dhh/2MoyPM=,61,Female,Ms,PROV_62,Province 62,WARD_61,Ward 61,Address 1000061,Hometown 62,Career 1,2026-05-15
"1000062","62",w82uRUUi2+cnUgGeKYJlVNiHVEQZ2eLJg5sQOGsomYfWodt0Yjxb/2goOkg=,62,Male,Mr,PROV_0,Province 0,WARD_62,Ward 62,Address 1000062,Hometown 0,Career 2,2026-05-15
"1000063","63",W5Ygb7lVXWcQlnaZaQ+XqssnWMHmpHxDuyBsDGpuENlMwkk6VRw7CsVV1Zw=,63,Female,Ms,PROV_1,Province 1,WARD_63,Ward 63,Address 1000063,Hometown 1,Career 3,2026-05-15
"1000064","64","67VKFOcJXPqSSK56AaJnvIWCL7F+Z5teTgsuT15vM4yH+sskRdhoqpesNN8=",64,Male,Mr,PROV_2,Province 2,WARD_64,Ward 64,Address 1000064,Hometown 2,Career 4,2026-05-15
"1000065","65",i3lWeOZ/5akWxFmBjl9j3H6x2aRgexTUHgqi0ZVha2Alc4Z5gRio0Stv/mw=,65,Female,Ms,PROV_3,Province 3,WARD_65,Ward 65,Address 1000065,Hometown 3,Career 5,2026-05-15
"1000066","66",UKFpZceGDpuETo15j1uXUDjpMUUhOmEc7/Boey8B+17UoPwZBGDypdsuiXI=,66,Male,Mr,PROV_4,Province 4,WARD_66,Ward 66,Address 1000066,Hometown 4,Career 6,2026-05-15
"1000067","67","9rqPNgNL4cT/hN1SgLCCU6oRVrLn/2SKizVgAikLNDWcmxjbQGTSrqUQxME=",67,Female,Ms,PROV_5,Province 5,WARD_67,Ward 67,Address 1000067,Hometown 5,Career 7,2026-05-15
"1000068","68",kmNTIyR9Tjoy7aVPctWEnioz6qD+x01lZmbUuFieY/uwRcQInVEjoUs2aLw=,68,Male,Mr,PROV_6,Province 6,WARD_68,Ward 68,Address 1000068,Hometown 6,Career 8,2026-05-15
"1000069","69",dCh29NnbMwNOysQyUG5L0rD7o9esKhyOlCmH2psTOqWuYYGk0T40johIpc4=,69,Female,Ms,PROV_7,Province 7,WARD_69,Ward 69,Address 1000069,Hometown 7,Career 9,2026-05-15
"100007","7","4581vRYU8wHP1xafg4A/vh5PkEuWKeqp58yNkE57TiF+stB9Ya09faM+8Q==",67,Female,Ms,PROV_26,Province 26,WARD_7,Ward 7,Address 100007,Hometown 26,Career 7,2026-05-15
"1000070","70",UMHvRmNvv9yBKnhDJ4ywklPho6cizaJVaJ2BVvZGxv4DX6/RjigG4X8sf/I=,70,Male,Mr,PROV_8,Province 8,WARD_70,Ward 70,Address 1000070,Hometown 8,Career 10,2026-05-15
"1000071","71",w4CcPq28YtJVwQtQGD6GUIqVCx++NxAes1o5ZE0RiKgwEBMB+qFsDUltZ4Y=,71,Female,Ms,PROV_9,Province 9,WARD_71,Ward 71,Address 1000071,Hometown 9,Career 11,2026-05-15
"1000072","72","2zzihRylP0DAnAjYIY0v27tNv+eFY72RvNO2ZoXLPEPWiReAzRKkUVChNNQ=",72,Male,Mr,PROV_10,Province 10,WARD_72,Ward 72,Address 1000072,Hometown 10,Career 12,2026-05-15
"1000073","73","8aC/40xIOMaTMp7YXqnW7enbl4ocQs40OFBWid2BdJ8+cX2yABk/+4Li+Fo=",73,Female,Ms,PROV_11,Province 11,WARD_73,Ward 73,Address 1000073,Hometown 11,Career 13,2026-05-15
"1000074","74","4JbLqgdD/zBndX/zPWBcCAPaV7lTyfcfzh4ocXkgCtUyCgPVtpWAlZDS3eE=",74,Male,Mr,PROV_12,Province 12,WARD_74,Ward 74,Address 1000074,Hometown 12,Career 14,2026-05-15
"1000075","75",SRAuxEeJEIilTu02iE5Ku1VN8Aqd3BaOmtJmUJgCTp7l7A1zO96QQ0SkaMk=,75,Female,Ms,PROV_13,Province 13,WARD_75,Ward 75,Address 1000075,Hometown 13,Career 15,2026-05-15
"1000076","76",jlFlh5HdNRH0VUlX+dKcF3629XoeNgDgDL39BemCBkiuZNmyOrm2/SrFevE=,76,Male,Mr,PROV_14,Province 14,WARD_76,Ward 76,Address 1000076,Hometown 14,Career 16,2026-05-15
"1000077","77",SgJTzRdzOTgV35vbLAy8i52R9b962Yv9+Vf1vVfJ+iWPQS3N6q6J2yfKO5g=,77,Female,Ms,PROV_15,Province 15,WARD_77,Ward 77,Address 1000077,Hometown 15,Career 17,2026-05-15
"1000078","78",uTU8TC8dSJ/2jY9Rz6IuR00jCEZhBH0vu3y9KOMlYshODiUqLsIHQToX6ng=,78,Male,Mr,PROV_16,Province 16,WARD_78,Ward 78,Address 1000078,Hometown 16,Career 18,2026-05-15
"1000079","79",T/yVoAe8nDsfs6BWwq0kIam+3xwVBp0Iao9n+FqBR7V9lieWk6avcDYrngQ=,79,Female,Ms,PROV_17,Province 17,WARD_79,Ward 79,Address 1000079,Hometown 17,Career 19,2026-05-15
"100008","8",q8R6w1zrYiLp2RJXeRltk8PsakBKlHD5lAhVYUQFIRM29H2r/liGFB8liQ==,68,Male,Mr,PROV_27,Province 27,WARD_8,Ward 8,Address 100008,Hometown 27,Career 8,2026-05-15
"1000080","80",ddkXXE1E4dB8RHtnEKEhCnTY6wr2lNjltd1XZ+z8UcwRe1yWnusuMCkq1zA=,20,Male,Mr,PROV_18,Province 18,WARD_80,Ward 80,Address 1000080,Hometown 18,Career 0,2026-05-15
"1000081","81",aHdA+He70rqXr4lkBJ5I8O+6n5qsX3GVPgcWe+WEfIB1cM4S4/2+8JN9mM8=,21,Female,Ms,PROV_19,Province 19,WARD_81,Ward 81,Address 1000081,Hometown 19,Career 1,2026-05-15
"1000082","82",UgaBM0RmfBgxAmhODVY1EwADuvZ3yqj+/npPbHlFCRvqh+5tTnW+uCMcnAQ=,22,Male,Mr,PROV_20,Province 20,WARD_82,Ward 82,Address 1000082,Hometown 20,Career 2,2026-05-15
"1000083","83","5JMh7tGoZzhiyV9ZmSzYtc3+p7WCnMVIPBMrExQf4LGSV8nLFH49mKTc+Fs=",23,Female,Ms,PROV_21,Province 21,WARD_83,Ward 83,Address 1000083,Hometown 21,Career 3,2026-05-15
"1000084","84",Ua1GYBgkEhy5EnMP1eAmJAR90YnvedXv3nuzKu3OEaoGZBWrpkTgoCswJos=,24,Male,Mr,PROV_22,Province 22,WARD_84,Ward 84,Address 1000084,Hometown 22,Career 4,2026-05-15
"1000085","85",L3JY46GKCuUg65cJBZhSo7juQsJ6+RtucwByCsjNNplcebexvMNBbpkQpnc=,25,Female,Ms,PROV_23,Province 23,WARD_85,Ward 85,Address 1000085,Hometown 23,Career 5,2026-05-15
"1000086","86",X50SJ/VThE0CimcsCe5arFynmzOVbOKqsD5Tw0WQhdEsBmwZU/GQ+ho+Ywc=,26,Male,Mr,PROV_24,Province 24,WARD_86,Ward 86,Address 1000086,Hometown 24,Career 6,2026-05-15
"1000087","87",ID/qH/Njg5IMgfmuvO/YZyQwfy9UbMznH9+w6NDY6GeAfmgUuLVR+atE/rA=,27,Female,Ms,PROV_25,Province 25,WARD_87,Ward 87,Address 1000087,Hometown 25,Career 7,2026-05-15
"1000088","88",lEt1S6w5ox5Sd2XGVJMTY4DfkqbHdxj4V3EiRB9qLVEa7aaOpWmg1rxfw4Y=,28,Male,Mr,PROV_26,Province 26,WARD_88,Ward 88,Address 1000088,Hometown 26,Career 8,2026-05-15
"1000089","89",oQkjgZ6G4wNU43sA+imFiJXDpI1h15m389AlCKostpO0poSGM5mgrMMGviA=,29,Female,Ms,PROV_27,Province 27,WARD_89,Ward 89,Address 1000089,Hometown 27,Career 9,2026-05-15
"100009","9",GHL/h4ONpTDocYNzpNzSVO0mK1XByLdARL6Py0C7+bysE6mlDljoIwbTaA==,69,Female,Ms,PROV_28,Province 28,WARD_9,Ward 9,Address 100009,Hometown 28,Career 9,2026-05-15
"1000090","90",hHbuISINFjZ66J7o/CzFVukx2OlSni5UwIbl5oaMqwajRi6XivHmmbhyT88=,30,Male,Mr,PROV_28,Province 28,WARD_90,Ward 90,Address 1000090,Hometown 28,Career 10,2026-05-15
"1000091","91",i0fv3jTH1hXR0IXVewhhMBiGvKcfXIvydG67mrV4wVqJjdEVYIakGdsl2/M=,31,Female,Ms,PROV_29,Province 29,WARD_91,Ward 91,Address 1000091,Hometown 29,Career 11,2026-05-15
"1000092","92",UxAieBMdTP+I+KG1Txx+hHPRcQgXN/lxed0vRPJv/QwKLuba+f6hBsBwohg=,32,Male,Mr,PROV_30,Province 30,WARD_92,Ward 92,Address 1000092,Hometown 30,Career 12,2026-05-15
"1000093","93",uqutPpMYc3qSv0NrQ94S3/lmVMYQTC3WIBX901RdIG1FgtCEXLK63wYI5kA=,33,Female,Ms,PROV_31,Province 31,WARD_93,Ward 93,Address 1000093,Hometown 31,Career 13,2026-05-15
"1000094","94",FtS2lKVmqEcIVoiJzr40iXoZmRM5rzi0hPpqy50JLYZ2aroXAZXvDumZYEc=,34,Male,Mr,PROV_32,Province 32,WARD_94,Ward 94,Address 1000094,Hometown 32,Career 14,2026-05-15
"1000095","95",Zy9DrWRiJqE2BYDDBj37M3+3Zfz0Z9nqJ4j9lPhfZPUxy0DdiCEU82lqocQ=,35,Female,Ms,PROV_33,Province 33,WARD_95,Ward 95,Address 1000095,Hometown 33,Career 15,2026-05-15
